Country Code ISO3,Country,Regions used for the SDR,year,population,SDG Index Score,economic development index
LKA,Sri Lanka,East & South Asia,2012,20958917,66.2,18.47295
_Africa,Sub-Saharan Africa,,2012,,49.6,14.09043
SDN,Sudan,Sub-Saharan Africa,2012,34758992,44.8,13.08365
SUR,Suriname,LAC,2012,555161,66.2,--
SWE,Sweden,OECD,2012,9510850,85.5,93.07527
CHE,Switzerland,OECD,2012,7953404,79.0,71.05974
SYR,Syrian Arab Republic,MENA,2012,22871847,58.3,--
TJK,Tajikistan,E. Europe & C. Asia,2012,7868776,65.4,14.50148
TZA,Tanzania,Sub-Saharan Africa,2012,47085677,54.0,14.28014
THA,Thailand,East & South Asia,2012,68937054,69.9,27.43459
TGO,Togo,Sub-Saharan Africa,2012,6837642,50.4,14.64074
TTO,Trinidad and Tobago,LAC,2012,1425116,63.6,26.36055
TUN,Tunisia,MENA,2012,11112692,69.6,30.1256
TUR,T¨¹rkiye,OECD,2012,74660491,69.6,40.12973
TKM,Turkmenistan,E. Europe & C. Asia,2012,5408631,65.5,--
UGA,Uganda,Sub-Saharan Africa,2012,33778738,50.6,15.74405
UKR,Ukraine,E. Europe & C. Asia,2012,45444311,71.6,--
ARE,United Arab Emirates,MENA,2012,8620859,62.3,52.04668
GBR,United Kingdom,OECD,2012,63551780,79.6,70.47592
USA,United States,OECD,2012,315271591,73.8,81.69664
_UMIC,Upper-middle-income Countries,,2012,,67.0,42.43383
URY,Uruguay,LAC,2012,3366261,73.8,37.76129
UZB,Uzbekistan,E. Europe & C. Asia,2012,29278404,65.1,22.46119
VEN,"Venezuela, RB",LAC,2012,29284724,65.7,35.01996
VNM,Vietnam,East & South Asia,2012,88821170,68.3,28.25072
_World,World,,2012,,62.2,35.89564
YEM,"Yemen, Rep.",MENA,2012,25846295,49.4,11.74759
ZMB,Zambia,Sub-Saharan Africa,2012,14503655,50.1,10.83574
ZWE,Zimbabwe,Sub-Saharan Africa,2012,13125037,55.8,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
